Date;Repo Rate
09/06/21;0.75
09/03/21;0.75
09/02/21;0.75
09/01/21;0.75
08/31/21;0.75
08/30/21;0.75
08/27/21;0.75
08/26/21;0.75
08/25/21;0.75
08/24/21;0.75
08/23/21;0.75
08/20/21;0.75
08/19/21;0.75
08/18/21;0.75
08/17/21;0.75
08/16/21;0.75
08/13/21;0.75
08/12/21;0.75
08/11/21;0.75
08/10/21;0.75
08/09/21;0.75
08/06/21;0.75
08/05/21;0.5
08/04/21;0.5
08/03/21;0.5
08/02/21;0.5
07/30/21;0.5
07/29/21;0.5
07/28/21;0.5
07/27/21;0.5
07/26/21;0.5
07/23/21;0.5
07/22/21;0.5
07/21/21;0.5
07/20/21;0.5
07/19/21;0.5
07/16/21;0.5
07/15/21;0.5
07/14/21;0.5
07/13/21;0.5
07/12/21;0.5
07/09/21;0.5
07/08/21;0.5
07/07/21;0.5
07/02/21;0.5
07/01/21;0.5
06/30/21;0.5
06/29/21;0.5
06/28/21;0.5
06/25/21;0.5
06/24/21;0.5
06/23/21;0.25
06/22/21;0.25
06/21/21;0.25
06/18/21;0.25
06/17/21;0.25
06/16/21;0.25
06/15/21;0.25
06/14/21;0.25
06/11/21;0.25
06/10/21;0.25
06/09/21;0.25
06/08/21;0.25
06/07/21;0.25
06/04/21;0.25
06/03/21;0.25
06/02/21;0.25
06/01/21;0.25
05/31/21;0.25
05/28/21;0.25
05/27/21;0.25
05/26/21;0.25
05/25/21;0.25
05/24/21;0.25
05/21/21;0.25
05/20/21;0.25
05/19/21;0.25
05/18/21;0.25
05/17/21;0.25
05/14/21;0.25
05/13/21;0.25
05/12/21;0.25
05/11/21;0.25
05/10/21;0.25
05/07/21;0.25
05/06/21;0.25
05/05/21;0.25
05/04/21;0.25
05/03/21;0.25
04/30/21;0.25
04/29/21;0.25
04/28/21;0.25
04/27/21;0.25
04/26/21;0.25
04/23/21;0.25
04/22/21;0.25
04/21/21;0.25
04/20/21;0.25
04/19/21;0.25
04/16/21;0.25
04/15/21;0.25
04/14/21;0.25
04/13/21;0.25
04/12/21;0.25
04/09/21;0.25
04/08/21;0.25
04/07/21;0.25
04/06/21;0.25
04/01/21;0.25
03/31/21;0.25
03/30/21;0.25
03/29/21;0.25
03/26/21;0.25
03/25/21;0.25
03/24/21;0.25
03/23/21;0.25
03/22/21;0.25
03/19/21;0.25
03/18/21;0.25
03/17/21;0.25
03/16/21;0.25
03/15/21;0.25
03/12/21;0.25
03/11/21;0.25
03/10/21;0.25
03/09/21;0.25
03/08/21;0.25
03/05/21;0.25
03/04/21;0.25
03/03/21;0.25
03/02/21;0.25
03/01/21;0.25
02/26/21;0.25
02/25/21;0.25
02/24/21;0.25
02/23/21;0.25
02/22/21;0.25
02/19/21;0.25
02/18/21;0.25
02/17/21;0.25
02/16/21;0.25
02/15/21;0.25
02/12/21;0.25
02/11/21;0.25
02/10/21;0.25
02/09/21;0.25
02/08/21;0.25
02/05/21;0.25
02/04/21;0.25
02/03/21;0.25
02/02/21;0.25
02/01/21;0.25
01/29/21;0.25
01/28/21;0.25
01/27/21;0.25
01/26/21;0.25
01/25/21;0.25
01/22/21;0.25
01/21/21;0.25
01/20/21;0.25
01/19/21;0.25
01/18/21;0.25
01/15/21;0.25
01/14/21;0.25
01/13/21;0.25
01/12/21;0.25
01/11/21;0.25
01/08/21;0.25
01/07/21;0.25
01/06/21;0.25
01/05/21;0.25
01/04/21;0.25
12/31/20;0.25
12/30/20;0.25
12/29/20;0.25
12/28/20;0.25
12/23/20;0.25
12/22/20;0.25
12/21/20;0.25
12/18/20;0.25
12/17/20;0.25
12/16/20;0.25
12/15/20;0.25
12/14/20;0.25
12/11/20;0.25
12/10/20;0.25
12/09/20;0.25
12/08/20;0.25
12/07/20;0.25
12/04/20;0.25
12/03/20;0.25
12/02/20;0.25
12/01/20;0.25
11/30/20;0.25
11/27/20;0.25
11/26/20;0.25
11/25/20;0.25
11/24/20;0.25
11/23/20;0.25
11/20/20;0.25
11/19/20;0.25
11/18/20;0.25
11/16/20;0.25
11/13/20;0.25
11/12/20;0.25
11/11/20;0.25
11/10/20;0.25
11/09/20;0.25
11/06/20;0.25
11/05/20;0.25
11/04/20;0.25
11/03/20;0.25
11/02/20;0.25
10/30/20;0.25
10/29/20;0.25
10/27/20;0.25
10/26/20;0.25
10/23/20;0.25
10/22/20;0.25
10/21/20;0.25
10/20/20;0.25
10/19/20;0.25
10/16/20;0.25
10/15/20;0.25
10/14/20;0.25
10/13/20;0.25
10/12/20;0.25
10/09/20;0.25
10/08/20;0.25
10/07/20;0.25
10/06/20;0.25
10/05/20;0.25
10/02/20;0.25
10/01/20;0.25
09/30/20;0.25
09/29/20;0.25
09/25/20;0.25
09/24/20;0.25
09/23/20;0.25
09/22/20;0.25
09/21/20;0.25
09/18/20;0.25
09/17/20;0.25
09/16/20;0.25
09/15/20;0.25
09/14/20;0.25
09/11/20;0.25
09/10/20;0.25
09/09/20;0.25
09/08/20;0.25
09/07/20;0.25
09/04/20;0.25
09/03/20;0.25
09/02/20;0.25
09/01/20;0.25
08/31/20;0.25
08/28/20;0.25
08/27/20;0.25
08/26/20;0.25
08/25/20;0.25
08/24/20;0.25
08/21/20;0.25
08/20/20;0.25
08/19/20;0.25
08/18/20;0.25
08/17/20;0.25
08/14/20;0.25
08/13/20;0.25
08/12/20;0.25
08/11/20;0.25
08/10/20;0.25
08/07/20;0.25
08/06/20;0.25
08/05/20;0.25
08/04/20;0.25
08/03/20;0.25
07/31/20;0.25
07/30/20;0.25
07/29/20;0.25
07/28/20;0.25
07/27/20;0.25
07/24/20;0.25
07/23/20;0.25
07/22/20;0.25
07/21/20;0.25
07/20/20;0.25
07/17/20;0.25
07/16/20;0.25
07/15/20;0.25
07/14/20;0.25
07/13/20;0.25
07/10/20;0.25
07/09/20;0.25
07/08/20;0.25
07/07/20;0.25
07/03/20;0.25
07/02/20;0.25
07/01/20;0.25
06/30/20;0.25
06/29/20;0.25
06/26/20;0.25
06/25/20;0.25
06/24/20;0.25
06/23/20;0.25
06/22/20;0.25
06/19/20;0.25
06/18/20;0.25
06/17/20;0.25
06/16/20;0.25
06/15/20;0.25
06/12/20;0.25
06/11/20;0.25
06/10/20;0.25
06/09/20;0.25
06/08/20;0.25
06/05/20;0.25
06/04/20;0.25
06/03/20;0.25
06/02/20;0.25
06/01/20;0.25
05/29/20;0.25
05/28/20;0.25
05/27/20;0.25
05/26/20;0.25
05/25/20;0.25
05/22/20;0.25
05/21/20;0.25
05/20/20;0.25
05/19/20;0.25
05/18/20;0.25
05/15/20;0.25
05/14/20;0.25
05/13/20;0.25
05/12/20;0.25
05/11/20;0.25
05/07/20;1
05/06/20;1
05/05/20;1
05/04/20;1
04/30/20;1
04/29/20;1
04/28/20;1
04/27/20;1
04/24/20;1
04/23/20;1
04/22/20;1
04/21/20;1
04/20/20;1
04/17/20;1
04/16/20;1
04/15/20;1
04/14/20;1
04/09/20;1
04/08/20;1
04/07/20;1
04/06/20;1
04/03/20;1
04/02/20;1
04/01/20;1
03/31/20;1
03/30/20;1
03/27/20;1
03/26/20;1.75
03/25/20;1.75
03/24/20;1.75
03/23/20;1.75
03/20/20;1.75
03/19/20;1.75
03/18/20;1.75
03/17/20;1.75
03/16/20;2.25
03/13/20;2.25
03/12/20;2.25
03/11/20;2.25
03/10/20;2.25
03/09/20;2.25
03/06/20;2.25
03/05/20;2.25
03/04/20;2.25
03/03/20;2.25
03/02/20;2.25
02/28/20;2.25
02/27/20;2.25
02/26/20;2.25
02/25/20;2.25
02/24/20;2.25
02/21/20;2.25
02/20/20;2.25
02/19/20;2.25
02/18/20;2.25
02/17/20;2.25
02/14/20;2.25
02/13/20;2.25
02/12/20;2.25
02/11/20;2.25
02/10/20;2.25
02/07/20;2.25
02/06/20;2
02/05/20;2
02/04/20;2
02/03/20;2
01/31/20;2
01/30/20;2
01/29/20;2
01/28/20;2
01/27/20;2
01/24/20;2
01/23/20;2
01/22/20;2
01/21/20;2
01/20/20;2
01/17/20;2
01/16/20;2
01/15/20;2
01/14/20;2
01/13/20;2
01/10/20;2
01/09/20;2
01/08/20;2
01/07/20;2
01/06/20;2
01/03/20;2
01/02/20;2
12/31/19;2
12/30/19;2
12/27/19;2
12/23/19;2
12/20/19;2
12/19/19;2
12/18/19;2
12/17/19;2
12/16/19;2
12/13/19;2
12/12/19;2
12/11/19;2
12/10/19;2
12/09/19;2
12/06/19;2
12/05/19;2
12/04/19;2
12/03/19;2
12/02/19;2
11/29/19;2
11/28/19;2
11/27/19;2
11/26/19;2
11/25/19;2
11/22/19;2
11/21/19;2
11/20/19;2
11/19/19;2
11/18/19;2
11/15/19;2
11/14/19;2
11/13/19;2
11/12/19;2
11/11/19;2
11/08/19;2
11/07/19;2
11/06/19;2
11/05/19;2
11/04/19;2
11/01/19;2
10/31/19;2
10/30/19;2
10/29/19;2
10/25/19;2
10/24/19;2
10/23/19;2
10/22/19;2
10/21/19;2
10/18/19;2
10/17/19;2
10/16/19;2
10/15/19;2
10/14/19;2
10/11/19;2
10/10/19;2
10/09/19;2
10/08/19;2
10/07/19;2
10/04/19;2
10/03/19;2
10/02/19;2
10/01/19;2
09/30/19;2
09/27/19;2
09/26/19;2
09/25/19;2
09/24/19;2
09/23/19;2
09/20/19;2
09/19/19;2
09/18/19;2
09/17/19;2
09/16/19;2
09/13/19;2
09/12/19;2
09/11/19;2
09/10/19;2
09/09/19;2
09/06/19;2
09/05/19;2
09/04/19;2
09/03/19;2
09/02/19;2
08/30/19;2
08/29/19;2
08/28/19;2
08/27/19;2
08/26/19;2
08/23/19;2
08/22/19;2
08/21/19;2
08/20/19;2
08/19/19;2
08/16/19;2
08/15/19;2
08/14/19;2
08/13/19;2
08/12/19;2
08/09/19;2
08/08/19;2
08/07/19;2
08/06/19;2
08/05/19;2
08/02/19;2
08/01/19;2
07/31/19;2
07/30/19;2
07/29/19;2
07/26/19;2
07/25/19;2
07/24/19;2
07/23/19;2
07/22/19;2
07/19/19;2
07/18/19;2
07/17/19;2
07/16/19;2
07/15/19;2
07/12/19;2
07/11/19;2
07/10/19;2
07/09/19;2
07/08/19;2
07/04/19;2
07/03/19;2
07/02/19;2
07/01/19;2
06/28/19;2
06/27/19;2
06/26/19;2
06/25/19;2
06/24/19;2
06/21/19;2
06/20/19;2
06/19/19;2
06/18/19;2
06/17/19;2
06/14/19;2
06/13/19;2
06/12/19;2
06/11/19;2
06/10/19;2
06/07/19;2
06/06/19;2
06/05/19;2
06/04/19;2
06/03/19;2
05/31/19;2
05/30/19;2
05/29/19;2
05/28/19;2
05/27/19;2
05/24/19;2
05/23/19;2
05/22/19;2
05/21/19;2
05/20/19;2
05/17/19;2
05/16/19;2
05/15/19;2
05/14/19;2
05/13/19;2
05/10/19;2
05/09/19;2
05/07/19;2
05/06/19;2
05/03/19;2
05/02/19;1.75
04/30/19;1.75
04/29/19;1.75
04/26/19;1.75
04/25/19;1.75
04/24/19;1.75
04/23/19;1.75
04/18/19;1.75
04/17/19;1.75
04/16/19;1.75
04/15/19;1.75
04/12/19;1.75
04/11/19;1.75
04/10/19;1.75
04/09/19;1.75
04/08/19;1.75
04/05/19;1.75
04/04/19;1.75
04/03/19;1.75
04/02/19;1.75
04/01/19;1.75
03/29/19;1.75
03/28/19;1.75
03/27/19;1.75
03/26/19;1.75
03/25/19;1.75
03/22/19;1.75
03/21/19;1.75
03/20/19;1.75
03/19/19;1.75
03/18/19;1.75
03/15/19;1.75
03/14/19;1.75
03/13/19;1.75
03/12/19;1.75
03/11/19;1.75
03/08/19;1.75
03/07/19;1.75
03/06/19;1.75
03/05/19;1.75
03/04/19;1.75
03/01/19;1.75
02/28/19;1.75
02/27/19;1.75
02/26/19;1.75
02/25/19;1.75
02/22/19;1.75
02/21/19;1.75
02/20/19;1.75
02/19/19;1.75
02/18/19;1.75
02/15/19;1.75
02/14/19;1.75
02/13/19;1.75
02/12/19;1.75
02/11/19;1.75
02/08/19;1.75
02/07/19;1.75
02/06/19;1.75
02/05/19;1.75
02/04/19;1.75
02/01/19;1.75
01/31/19;1.75
01/30/19;1.75
01/29/19;1.75
01/28/19;1.75
01/25/19;1.75
01/24/19;1.75
01/23/19;1.75
01/22/19;1.75
01/21/19;1.75
01/18/19;1.75
01/17/19;1.75
01/16/19;1.75
01/15/19;1.75
01/14/19;1.75
01/11/19;1.75
01/10/19;1.75
01/09/19;1.75
01/08/19;1.75
01/07/19;1.75
01/04/19;1.75
01/03/19;1.75
01/02/19;1.75
12/31/18;1.75
12/28/18;1.75
12/27/18;1.75
12/21/18;1.75
12/20/18;1.75
12/19/18;1.75
12/18/18;1.75
12/17/18;1.75
12/14/18;1.75
12/13/18;1.75
12/12/18;1.75
12/11/18;1.75
12/10/18;1.75
12/07/18;1.75
12/06/18;1.75
12/05/18;1.75
12/04/18;1.75
12/03/18;1.75
11/30/18;1.75
11/29/18;1.75
11/28/18;1.75
11/27/18;1.75
11/26/18;1.75
11/23/18;1.75
11/22/18;1.75
11/21/18;1.75
11/20/18;1.75
11/19/18;1.75
11/16/18;1.75
11/15/18;1.75
11/14/18;1.75
11/13/18;1.75
11/12/18;1.75
11/09/18;1.75
11/08/18;1.75
11/07/18;1.75
11/06/18;1.75
11/05/18;1.75
11/02/18;1.75
11/01/18;1.5
10/31/18;1.5
10/30/18;1.5
10/29/18;1.5
10/26/18;1.5
10/25/18;1.5
10/24/18;1.5
10/23/18;1.5
10/22/18;1.5
10/19/18;1.5
10/18/18;1.5
10/17/18;1.5
10/16/18;1.5
10/15/18;1.5
10/12/18;1.5
10/11/18;1.5
10/10/18;1.5
10/09/18;1.5
10/08/18;1.5
10/05/18;1.5
10/04/18;1.5
10/03/18;1.5
10/02/18;1.5
10/01/18;1.5
09/27/18;1.5
09/26/18;1.25
09/25/18;1.25
09/24/18;1.25
09/21/18;1.25
09/20/18;1.25
09/19/18;1.25
09/18/18;1.25
09/17/18;1.25
09/14/18;1.25
09/13/18;1.25
09/12/18;1.25
09/11/18;1.25
09/10/18;1.25
09/07/18;1.25
09/06/18;1.25
09/05/18;1.25
09/04/18;1.25
09/03/18;1.25
08/31/18;1.25
08/30/18;1.25
08/29/18;1.25
08/28/18;1.25
08/27/18;1.25
08/24/18;1.25
08/23/18;1.25
08/22/18;1.25
08/21/18;1.25
08/20/18;1.25
08/17/18;1.25
08/16/18;1.25
08/15/18;1.25
08/14/18;1.25
08/13/18;1.25
08/10/18;1.25
08/09/18;1.25
08/08/18;1.25
08/07/18;1.25
08/06/18;1.25
08/03/18;1.25
08/02/18;1
08/01/18;1
07/31/18;1
07/30/18;1
07/27/18;1
07/26/18;1
07/25/18;1
07/24/18;1
07/23/18;1
07/20/18;1
07/19/18;1
07/18/18;1
07/17/18;1
07/16/18;1
07/13/18;1
07/12/18;1
07/11/18;1
07/10/18;1
07/09/18;1
07/04/18;1
07/03/18;1
07/02/18;1
06/29/18;1
06/28/18;1
06/27/18;0.75
06/26/18;0.75
06/25/18;0.75
06/22/18;0.75
06/21/18;0.75
06/20/18;0.75
06/19/18;0.75
06/18/18;0.75
06/15/18;0.75
06/14/18;0.75
06/13/18;0.75
06/12/18;0.75
06/11/18;0.75
06/08/18;0.75
06/07/18;0.75
06/06/18;0.75
06/05/18;0.75
06/04/18;0.75
06/01/18;0.75
05/31/18;0.75
05/30/18;0.75
05/29/18;0.75
05/28/18;0.75
05/25/18;0.75
05/24/18;0.75
05/23/18;0.75
05/22/18;0.75
05/21/18;0.75
05/18/18;0.75
05/17/18;0.75
05/16/18;0.75
05/15/18;0.75
05/14/18;0.75
05/11/18;0.75
05/10/18;0.75
05/09/18;0.75
05/07/18;0.75
05/04/18;0.75
05/03/18;0.75
05/02/18;0.75
04/30/18;0.75
04/27/18;0.75
04/26/18;0.75
04/25/18;0.75
04/24/18;0.75
04/23/18;0.75
04/20/18;0.75
04/19/18;0.75
04/18/18;0.75
04/17/18;0.75
04/16/18;0.75
04/13/18;0.75
04/12/18;0.75
04/11/18;0.75
04/10/18;0.75
04/09/18;0.75
04/06/18;0.75
04/05/18;0.75
04/04/18;0.75
04/03/18;0.75
03/29/18;0.75
03/28/18;0.75
03/27/18;0.75
03/26/18;0.75
03/23/18;0.75
03/22/18;0.75
03/21/18;0.75
03/20/18;0.75
03/19/18;0.75
03/16/18;0.75
03/15/18;0.75
03/14/18;0.75
03/13/18;0.75
03/12/18;0.75
03/09/18;0.75
03/08/18;0.75
03/07/18;0.75
03/06/18;0.75
03/05/18;0.75
03/02/18;0.75
03/01/18;0.75
02/28/18;0.75
02/27/18;0.75
02/26/18;0.75
02/23/18;0.75
02/22/18;0.75
02/21/18;0.75
02/20/18;0.75
02/19/18;0.75
02/16/18;0.75
02/15/18;0.75
02/14/18;0.75
02/13/18;0.75
02/12/18;0.75
02/09/18;0.75
02/08/18;0.75
02/07/18;0.75
02/06/18;0.75
02/05/18;0.75
02/02/18;0.75
02/01/18;0.5
01/31/18;0.5
01/30/18;0.5
01/29/18;0.5
01/26/18;0.5
01/25/18;0.5
01/24/18;0.5
01/23/18;0.5
01/22/18;0.5
01/19/18;0.5
01/18/18;0.5
01/17/18;0.5
01/16/18;0.5
01/15/18;0.5
01/12/18;0.5
01/11/18;0.5
01/10/18;0.5
01/09/18;0.5
01/08/18;0.5
01/05/18;0.5
01/04/18;0.5
01/03/18;0.5
01/02/18;0.5
12/29/17;0.5
12/28/17;0.5
12/27/17;0.5
12/22/17;0.5
12/21/17;0.5
12/20/17;0.5
12/19/17;0.5
12/18/17;0.5
12/15/17;0.5
12/14/17;0.5
12/13/17;0.5
12/12/17;0.5
12/11/17;0.5
12/08/17;0.5
12/07/17;0.5
12/06/17;0.5
12/05/17;0.5
12/04/17;0.5
12/01/17;0.5
11/30/17;0.5
11/29/17;0.5
11/28/17;0.5
11/27/17;0.5
11/24/17;0.5
11/23/17;0.5
11/22/17;0.5
11/21/17;0.5
11/20/17;0.5
11/16/17;0.5
11/15/17;0.5
11/14/17;0.5
11/13/17;0.5
11/10/17;0.5
11/09/17;0.5
11/08/17;0.5
11/07/17;0.5
11/06/17;0.5
11/03/17;0.5
11/02/17;0.25
11/01/17;0.25
10/31/17;0.25
10/30/17;0.25
10/27/17;0.25
10/26/17;0.25
10/25/17;0.25
10/24/17;0.25
10/23/17;0.25
10/20/17;0.25
10/19/17;0.25
10/18/17;0.25
10/17/17;0.25
10/16/17;0.25
10/13/17;0.25
10/12/17;0.25
10/11/17;0.25
10/10/17;0.25
10/09/17;0.25
10/06/17;0.25
10/05/17;0.25
10/04/17;0.25
10/03/17;0.25
10/02/17;0.25
09/29/17;0.25
09/27/17;0.25
09/26/17;0.25
09/25/17;0.25
09/22/17;0.25
09/21/17;0.25
09/20/17;0.25
09/19/17;0.25
09/18/17;0.25
09/15/17;0.25
09/14/17;0.25
09/13/17;0.25
09/12/17;0.25
09/11/17;0.25
09/08/17;0.25
09/07/17;0.25
09/06/17;0.25
09/05/17;0.25
09/04/17;0.25
09/01/17;0.25
08/31/17;0.25
08/30/17;0.25
08/29/17;0.25
08/28/17;0.25
08/25/17;0.25
08/24/17;0.25
08/23/17;0.25
08/22/17;0.25
08/21/17;0.25
08/18/17;0.25
08/17/17;0.25
08/16/17;0.25
08/15/17;0.25
08/14/17;0.25
08/11/17;0.25
08/10/17;0.25
08/09/17;0.25
08/08/17;0.25
08/07/17;0.25
08/04/17;0.25
08/03/17;0.05
08/02/17;0.05
08/01/17;0.05
07/31/17;0.05
07/28/17;0.05
07/27/17;0.05
07/26/17;0.05
07/25/17;0.05
07/24/17;0.05
07/21/17;0.05
07/20/17;0.05
07/19/17;0.05
07/18/17;0.05
07/17/17;0.05
07/14/17;0.05
07/13/17;0.05
07/12/17;0.05
07/11/17;0.05
07/10/17;0.05
07/07/17;0.05
07/04/17;0.05
07/03/17;0.05
06/30/17;0.05
06/29/17;0.05
06/28/17;0.05
06/27/17;0.05
06/26/17;0.05
06/23/17;0.05
06/22/17;0.05
06/21/17;0.05
06/20/17;0.05
06/19/17;0.05
06/16/17;0.05
06/15/17;0.05
06/14/17;0.05
06/13/17;0.05
06/12/17;0.05
06/09/17;0.05
06/08/17;0.05
06/07/17;0.05
06/06/17;0.05
06/05/17;0.05
06/02/17;0.05
06/01/17;0.05
05/31/17;0.05
05/30/17;0.05
05/29/17;0.05
05/26/17;0.05
05/25/17;0.05
05/24/17;0.05
05/23/17;0.05
05/22/17;0.05
05/19/17;0.05
05/18/17;0.05
05/17/17;0.05
05/16/17;0.05
05/15/17;0.05
05/12/17;0.05
05/11/17;0.05
05/10/17;0.05
05/09/17;0.05
05/05/17;0.05
05/04/17;0.05
05/03/17;0.05
05/02/17;0.05
04/28/17;0.05
04/27/17;0.05
04/26/17;0.05
04/25/17;0.05
04/24/17;0.05
04/21/17;0.05
04/20/17;0.05
04/19/17;0.05
04/18/17;0.05
04/13/17;0.05
04/12/17;0.05
04/11/17;0.05
04/10/17;0.05
04/07/17;0.05
04/06/17;0.05
04/05/17;0.05
04/04/17;0.05
04/03/17;0.05
03/31/17;0.05
03/30/17;0.05
03/29/17;0.05
03/28/17;0.05
03/27/17;0.05
03/24/17;0.05
03/23/17;0.05
03/22/17;0.05
03/21/17;0.05
03/20/17;0.05
03/17/17;0.05
03/16/17;0.05
03/15/17;0.05
03/14/17;0.05
03/13/17;0.05
03/10/17;0.05
03/09/17;0.05
